iter	Passed	Remaining
760	4417	53635
761	4423	53621
762	4428	53617
763	4434	53608
764	4439	53597
765	4445	53586
766	4450	53576
767	4456	53565
768	4461	53561
769	4467	53553
770	4472	53541
771	4478	53538
772	4484	53526
773	4489	53514
774	4495	53516
775	4502	53517
776	4508	53520
777	4515	53522
778	4520	53510
779	4526	53502
780	4531	53493
781	4537	53482
782	4542	53473
783	4547	53460
784	4552	53442
785	4558	53432
786	4563	53423
787	4568	53412
788	4574	53404
789	4580	53398
790	4585	53390
791	4591	53383
792	4597	53376
793	4602	53364
794	4608	53356
795	4613	53346
796	4619	53339
797	4625	53334
798	4630	53325
799	4636	53317
800	4642	53312
801	4647	53302
802	4652	53290
803	4658	53282
804	4663	53272
805	4669	53260
806	4674	53254
807	4680	53246
808	4686	53237
809	4692	53237
810	4697	53229
811	4703	53221
812	4709	53217
813	4715	53210
814	4719	53189
815	4725	53187
816	4730	53173
817	4736	53162
818	4741	53153
819	4747	53147
820	4752	53136
821	4758	53131
822	4763	53121
823	4769	53111
824	4774	53099
825	4780	53090
826	4785	53081
827	4791	53075
828	4796	53066
829	4802	53058
830	4808	53052
831	4813	53043
832	4819	53034
833	4825	53029
834	4830	53018
835	4836	53012
836	4841	53006
837	4847	52998
838	4853	52989
839	4859	52987
840	4864	52977
841	4870	52970
842	4876	52968
843	4881	52958
844	4887	52954
845	4893	52948
846	4898	52932
847	4904	52927
848	4909	52920
849	4914	52907
850	4920	52899
851	4925	52890
852	4931	52879
853	4937	52877
854	4942	52866
855	4947	52855
856	4953	52845
857	4958	52836
858	4964	52830
859	4971	52834
860	4976	52825
861	4982	52817
862	4988	52813
863	4993	52802
864	4999	52794
865	5004	52787
866	5010	52778
867	5015	52769
868	5021	52763
869	5027	52756
870	5032	52744
871	5037	52736
872	5043	52730
873	5049	52721
874	5054	52713
875	5060	52705
876	5065	52698
877	5071	52695
878	5077	52685
879	5082	52674
880	5088	52665
881	5093	52654
882	5098	52644
883	5104	52637
884	5110	52640
885	5117	52640
886	5123	52636
887	5129	52632
888	5135	52629
889	5142	52633
890	5148	52630
891	5154	52632
892	5161	52633
893	5166	52629
894	5173	52633
895	5179	52628
896	5185	52624
897	5190	52614
898	5196	52604
899	5201	52597
900	5207	52587
901	5212	52577
902	5218	52567
903	5223	52559
904	5228	52549
905	5234	52543
906	5240	52535
907	5245	52527
908	5251	52520
909	5256	52510
